6.95163e-310,0.783236,0.317417,0.667206,0.715789,0.402086,0.422672,0.475373,0.516661,1,1,0.773826,0.554386,0.415789,0.291228,0.311048,0.35614,0.294737,
0.783236,6.95163e-310,0.461886,0.62754,0.562006,0.310949,0.33989,0.547267,0.696781,0.783236,0.783236,0.59562,0.434215,0.327035,0.229474,0.240146,0.280316,0.233597,
0.317417,0.461886,0,0.239923,0.202679,0.20438,0.188971,0.327998,0.440429,0.317417,0.317417,0.268613,0.164205,0.108554,0.0776366,0.0744526,0.0968739,0.0810718,
0.667206,0.62754,0.239923,0,0.923077,0.549804,0.569173,0.425087,0.396646,0.667206,0.667206,0.709874,0.45668,0.331984,0.225101,0.239234,0.276923,0.226721,
0.715789,0.562006,0.202679,0.923077,-1.70858e-209,0.599336,0.612955,0.382836,0.35383,0.715789,0.715789,0.773826,0.494737,0.359649,0.24386,0.260787,0.3,0.245614,
0.402086,0.310949,0.20438,0.549804,0.599336,2.6007e+97,0.842975,0.542846,0.49708,0.402086,0.402086,0.529412,0.263632,0.204836,0.127074,0.143447,0.1688,0.130868,
0.422672,0.33989,0.188971,0.569173,0.612955,0.842975,1.49915e+300,0.572125,0.530152,0.422672,0.422672,0.452371,0.293927,0.22834,0.144939,0.16007,0.189474,0.149798,
0.475373,0.547267,0.327998,0.425087,0.382836,0.542846,0.572125,1.70896e+215,0.803383,0.475373,0.475373,0.420088,0.30597,0.238806,0.157463,0.170586,0.202985,0.162687,
0.516661,0.696781,0.440429,0.396646,0.35383,0.49708,0.530152,0.803383,4.20059e-218,0.516661,0.516661,0.385401,0.282377,0.22123,0.146341,0.157664,0.188251,0.151151,
1,0.783236,0.317417,0.667206,0.715789,0.402086,0.422672,0.475373,0.516661,9.27748e+167,1,0.773826,0.554386,0.415789,0.291228,0.311048,0.35614,0.294737,
1,0.783236,0.317417,0.667206,0.715789,0.402086,0.422672,0.475373,0.516661,1,3.52274e-130,0.773826,0.554386,0.415789,0.291228,0.311048,0.35614,0.294737,
0.773826,0.59562,0.268613,0.709874,0.773826,0.529412,0.452371,0.420088,0.385401,0.773826,0.773826,-2.13445e-119,0.477952,0.35467,0.241821,0.261094,0.301565,0.244666,
0.554386,0.434215,0.164205,0.45668,0.494737,0.263632,0.293927,0.30597,0.282377,0.554386,0.554386,0.477952,5.04761e-262,0.621053,0.42193,0.447606,0.511404,0.420175,
0.415789,0.327035,0.108554,0.331984,0.359649,0.204836,0.22834,0.238806,0.22123,0.415789,0.415789,0.35467,0.621053,5.34919e+32,0.715789,0.773826,0.85,0.722807,
0.291228,0.229474,0.0776366,0.225101,0.24386,0.127074,0.144939,0.157463,0.146341,0.291228,0.291228,0.241821,0.42193,0.715789,-2.56463e-205,0.773826,0.85,0.716667,
0.311048,0.240146,0.0744526,0.239234,0.260787,0.143447,0.16007,0.170586,0.157664,0.311048,0.311048,0.261094,0.447606,0.773826,0.773826,4.157e+257,0.918919,0.773826,
0.35614,0.280316,0.0968739,0.276923,0.3,0.1688,0.189474,0.202985,0.188251,0.35614,0.35614,0.301565,0.511404,0.85,0.85,0.918919,-2.69999e+136,0.85,
0.294737,0.233597,0.0810718,0.226721,0.245614,0.130868,0.149798,0.162687,0.151151,0.294737,0.294737,0.244666,0.420175,0.722807,0.716667,0.773826,0.85,1.52898e-245,
